Name,Street
"«Метро Дмитровская», Бутырская улица (от центра) (1)",Бутырская улица
"«Ул. Всеволода Вишневского», Дмитровское шоссе (от центра) (1)",Дмитровское шоссе
"«434-е отделение связи», Дмитровское шоссе (от центра)",Дмитровское шоссе
"«К/т Комсомолец», Дмитровское шоссе (в центр) (1)",Дмитровское шоссе
"«Нижн. Лихоборы», Дмитровское шоссе (в центр) (1)",Дмитровское шоссе
"«7-й автобусный парк», Дмитровское шоссе (в центр) (1)",Дмитровское шоссе
"«Лианозовский элмех. з-д», Дмитровское шоссе (от центра) (1)",Дмитровское шоссе
"«М-н Спортмастер», Дмитровское шоссе (от центра)",Дмитровское шоссе
"«Ул. Марш. Федоренко», Краснополянская улица (в центр)",Краснополянская улица
"«Херсонская ул., 32», Херсонская улица (в центр)",Херсонская улица
"«Пехотная ул.», Волоколамское шоссе (в центр)",Волоколамское шоссе
"«Ул. Серегина», Ленинградский проспект (в центр) (1)",Ленинградский проспект
"«Путевой дворец», Ленинградский проспект (в центр) (1)",Ленинградский проспект
"«Соболевский пр.», Михалковская улица (от центра)",Михалковская улица
"«М-н Оптика», Петровско-Разумовский проезд (от центра)",Петровско-Разумовский проезд
"«Пр. Соломенной Сторожки», улица Вучетича (от центра)",улица Вучетича
"«Ижорская ул.», Ижорская улица (в центр)",Ижорская улица
"«Бусиново», улица Бусиновская Горка (от центра)",улица Бусиновская Горка
"«Краснополянская ул.», Краснополянская улица (в центр)",Краснополянская улица
"«Ижорская ул., 6», Ижорская улица (в центр)",Ижорская улица
"«Ул. Марш. Федоренко», Краснополянская улица (от центра)",Краснополянская улица
"«Краснополянская ул.», Краснополянская улица (от центра)",Краснополянская улица
"«Ул. Бусиновская Горка», улица Бусиновская Горка (в центр)",улица Бусиновская Горка
"«Ижорская ул., 6», Ижорская улица (от центра)",Ижорская улица
"«Покровское-Глебово», Волоколамское шоссе (от центра) (1)",Волоколамское шоссе
"«Б-ца МПС (к/ст, выс.)», Волоколамское шоссе (от центра)",Волоколамское шоссе
"«М-н Спортмастер», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Метро Тимирязевская», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Бутырская ул., 46», Бутырская улица (от центра) (1)",Бутырская улица
"«Метро Тимирязевская (пос.)», Дмитровское шоссе (от центра)",Дмитровское шоссе
"«К/т Рига», Станционная улица (в центр)",Станционная улица
"«Главный вход Ботанического сада», Станционная улица (в центр)",Станционная улица
"«Ботаническая ул., 33», Ботаническая улица (в центр)",Ботаническая улица
"«Ул. Акад. Комарова», Ботаническая улица (в центр)",Ботаническая улица
"«Ботаническая ул., 33», Ботаническая улица (от центра)",Ботаническая улица
"«Главный вход Ботанического сада», Сусоколовское шоссе (от центра)",Сусоколовское шоссе
"«Тушинская ул.», улица Свободы (от центра)",улица Свободы
"«Новопоселковая ул.», Лодочная улица (в центр) (1)",Лодочная улица
"«НИИАТ», улица Героев Панфиловцев (в центр) (2)",улица Героев Панфиловцев
"«Талдомская ул.», Коровинское шоссе (в центр)",Коровинское шоссе
"«Ул. Кашенкин Луг», Станционная улица (в центр) (1)",Станционная улица
"«Телецентр», улица Академика Королёва (в центр)",улица Академика Королёва
"«Останкинский пруд», улица Академика Королёва (в центр)",улица Академика Королёва
"«Экскурсионный корпус телебашни», Новомосковская улица (в центр)",Новомосковская улица
"«2-я Новоостанкинская ул.», Новомосковская улица (в центр)",Новомосковская улица
"«Калибровская ул.», Звёздный бульвар (в центр)",Звёздный бульвар
"«Звездный бульв.», Звёздный бульвар (в центр)",Звёздный бульвар
"«6-й Новоостанкинский пр.», Звёздный бульвар (от центра) (1)",Звёздный бульвар
"«Ул. Цандера», улица Цандера (от центра) (1)",улица Цандера
"«Ул. Кондратюка», улица Кондратюка (в центр)",улица Кондратюка
"«Гост. Останкино», Ботаническая улица (в центр)",Ботаническая улица
"«Ул. Акад. Королева», Новомосковская улица (в центр)",Новомосковская улица
"«Метро Алексеевская», проспект Мира (в центр)",проспект Мира
"«Новоалексеевская ул.», проспект Мира (в центр)",проспект Мира
"«Новоалексеевская ул.», проспект Мира (от центра) (1)",проспект Мира
"«Метро Алексеевская», проспект Мира (от центра) (1)",проспект Мира
"«Староалексеевская ул.», проспект Мира (от центра) (1)",проспект Мира
"«Гидропроект», Волоколамское шоссе (в центр) (2)",Волоколамское шоссе
"«Авиационный и Пищевой ин-ты», Волоколамское шоссе (в центр)",Волоколамское шоссе
"«Пехотная ул.», Авиационная улица (от центра)",Авиационная улица
"«Ул. Цандера», улица Цандера (в центр) (1)",улица Цандера
"«Звездный бульв.», Звёздный бульвар (от центра)",Звёздный бульвар
"«Калибровская ул.», Звёздный бульвар (от центра)",Звёздный бульвар
"«2-я Новоостанкинская ул.», Новомосковская улица (от центра)",Новомосковская улица
